type_chaussures,prix,adresse,image_lien,categorie
Chaussures Crocs,9 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5379660_uploaded_image1_1750203700.jpg,Chaussures Homme
Chaussures Crocs,9 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5379657_uploaded_image1_1750203622.jpg,Chaussures Homme
Baskets Timberland,20 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5384805_uploaded_image1_1750461330.jpg,Chaussures Homme
Baskets Dior B22,30 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5365750_uploaded_image1_1749419182.jpg,Chaussures Homme
Baskets Lacoste Trainer L003,30 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5365745_uploaded_image1_1749419070.jpg,Chaussures Homme
Baskets Lacoste trainer L003,30 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5365741_uploaded_image1_1749418889.jpg,Chaussures Homme
Chaussures pour homme,10 000,"location_onMedina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5403324_uploaded_image1_1751494857.jpg,Chaussures Homme
Baskets Adidas,20 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5365752_uploaded_image1_1749419261.jpg,Chaussures Homme
Baskets Louis Vuitton,30 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5365755_uploaded_image1_1749419366.jpg,Chaussures Homme
Baskets AF1 / The Nord Face,22 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5365735_uploaded_image1_1749418626.jpg,Chaussures Homme
Baskets Air Jordan 1,20 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5365739_uploaded_image1_1749418736.jpg,Chaussures Homme
Baskets Timberland,35 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5365729_uploaded_image1_1749418455.jpg,Chaussures Homme
Baskets Adidas Super Star,20 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5365715_uploaded_image1_1749417986.jpg,Chaussures Homme
Baskets Louis Vuitton,25 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5365721_uploaded_image1_1749418247.jpg,Chaussures Homme
Baskets Nike P6000,27 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5365720_uploaded_image1_1749418139.jpg,Chaussures Homme
Baskets Nike Zoomx,25 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5365707_uploaded_image1_1749417627.jpg,Chaussures Homme
Baskets Jordan One Low,25 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5365709_uploaded_image1_1749417739.jpg,Chaussures Homme
Baskets Jordan One,20 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5365710_uploaded_image1_1749417808.jpg,Chaussures Homme
