type_habits,prix,adresse,image_lien,categorie
Pantalon kaki,8 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5379655_uploaded_image1_1750203441.jpg,Vêtements Homme
Ensemble lacoste+ kaki,14 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5379656_uploaded_image1_1750203540.jpg,Vêtements Homme
Tshirt coton,8 000,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5374565_uploaded_image1_1749920402.jpg,Vêtements Homme
Jalaba homme,10 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5362186_uploaded_image1_1749145293.jpg,Vêtements Homme
Shorts coton,8 000,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5374534_uploaded_image1_1749919474.jpg,Vêtements Homme
Ensemble  pour homme,15 000,"location_onFass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5402965_uploaded_image1_1751479836.jpg,Vêtements Homme
Sorts cotton djiene,10 000,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5374538_uploaded_image1_1749919612.jpg,Vêtements Homme
Sorts coton djiene,10 000,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5374540_uploaded_image1_1749919718.jpg,Vêtements Homme
Bonet,Prix sur demande,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5374410_uploaded_image1_1749913289.jpg,Vêtements Homme
Djialabé,15 000,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5374429_uploaded_image1_1749913872.jpg,Vêtements Homme
Djialab Homme,15 000,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5374420_uploaded_image1_1749913604.jpg,Vêtements Homme
Djialab  Homme,10 000,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5374415_uploaded_image1_1749913505.jpg,Vêtements Homme
Pantalon bas large,7 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5387381_uploaded_image1_1750640217.jpg,Vêtements Homme
Ensemble short,15 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5387379_uploaded_image1_1750639839.jpg,Vêtements Homme
Polo en coton,8 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5361125_uploaded_image1_1749079937.jpg,Vêtements Homme
Pantalon homme,7 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5364547_uploaded_image1_1749327860.jpg,Vêtements Homme
Polo,7 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5387074_uploaded_image1_1750620178.jpg,Vêtements Homme
Short en jeans,6 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5387071_uploaded_image1_1750620076.jpg,Vêtements Homme
T-shirts,6 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5360742_uploaded_image1_1749062707.jpg,Vêtements Homme
T-shirts,6 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5360732_uploaded_image1_1749062350.jpg,Vêtements Homme
Ensemble short,10 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5360719_uploaded_image1_1749061877.jpg,Vêtements Homme
Jeans homme,7 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5386899_uploaded_image1_1750612630.jpg,Vêtements Homme
