web-scraper-order,web-scraper-start-url,V1_détails,V2_etat_clim,V3_adresse,V4_prix,V5_image_lien-src
1750932963-1,https://www.expat-dakar.com/climatisation?page=173,SPLIT SKAGGU 2.5CV 18000BTU R410,Neuf,"Plateau, Dakar",239000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6cc34db4be174d0f5faee570a127e7ee/-/horizon-files-prod/ed/picture/qrzz7e6j/6619b8de1c1b868b8a813aaef338f1531cd62df0.jpg
1750932963-2,https://www.expat-dakar.com/climatisation?page=173,SPLIT 2.5CV/ 18000BTU ROCH R410,Neuf,"Plateau, Dakar",239000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/97020d9b99f8e0e969472e81d14ce997/-/horizon-files-prod/ed/picture/qm55jw7d/e9dbfa8ad5264a1f81c55fed210afc2f228c2553.jpg
1750932963-4,https://www.expat-dakar.com/climatisation?page=173,SPLIT ROCH 9000BTU/1.25CV R410,Neuf,"Plateau, Dakar",144000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/763bf51720866b9fcb1d694f02c12174/-/horizon-files-prod/ed/picture/q6xxvw64/ef95e0222134e1c4d87f729d4397d924edbc8d5b.jpg
1750932963-5,https://www.expat-dakar.com/climatisation?page=173,SPLIT ASTECH 1.5CV 12000BTU R410,Neuf,"Plateau, Dakar",188000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/091c6715bbed8630fb88fba46d6936af/-/horizon-files-prod/ed/picture/q566zpeg/7844ae9b77c5ae6ecb57b1cb27108c1c500d9432.jpg
1750932963-6,https://www.expat-dakar.com/climatisation?page=173,SPLIT/CLIMATISEUR ROCH 9000BTU 1.25CV R410,Neuf,"Plateau, Dakar",159000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1edc69f5588996e9ea482fecb7679855/-/horizon-files-prod/ed/picture/qm55jgw2/6f93ab662a20ed50b21c8e00288f52b1d100666f.jpg
1750932963-7,https://www.expat-dakar.com/climatisation?page=173,SPLIT TCL 3CV/ 24000BTU MODE CHAUD ET FROID,Neuf,"Plateau, Dakar",339000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7b24b058dad28eddf581fc4fb56235cf/-/horizon-files-prod/ed/picture/qzvv8ddn/06080676bbfeedaf7fed13563929536a962512b0.jpg
1750932963-8,https://www.expat-dakar.com/climatisation?page=173,CUISINIERE ELACTRON 4 FEUX INOX 50X50,Neuf,"Plateau, Dakar",89000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d6e86634e03d543921509252f92c0b55/-/horizon-files-prod/ed/picture/qxjd5wjq/ea54c67e86ff4adb1467e7062716c175ec138aae.jpg
1750932963-9,https://www.expat-dakar.com/climatisation?page=173,CHAUFFE EAU ARISTON 30 - 50 - 80- 100- 120 LTR,Neuf,"Fann, Dakar",90000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/651d04b87a543b34b85df999d7be9799/-/horizon-files-prod/ed/picture/q9m06zwv/29ee4e652cf31394dfa8fdb066bb922d910de5ea.jpg
1750932963-10,https://www.expat-dakar.com/climatisation?page=173,SPLIT SMART TECHNOLOGY 1.5cv 12000BTU GAZ 410,Neuf,"Plateau, Dakar",174000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/082564b086c30cd4f82511f411bea903/-/horizon-files-prod/ed/picture/q8v0d94n/1f1416c8c29f6fbe3a0a3aba0cf12260056b716f.jpg
1750932963-11,https://www.expat-dakar.com/climatisation?page=173,SPLIT SMART TECHNOLOGY 9000 BTU 1.25 CV GAZ R410A A,Neuf,"Ouakam, Dakar",165900.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f7674f32fa365d8615b2dbc6a24b5a26/-/horizon-files-prod/ed/picture/qqppezw/9f2ecf09eac8b66052ffb8bc223ac85b988174d1.jpg
1750932965-12,https://www.expat-dakar.com/climatisation?page=172,SPLIT SHARP 12000 BTU CHAUD ET FROID,Neuf,"Plateau, Dakar",198000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2148fbe8d4667520049a20a6b49db8da/-/horizon-files-prod/ed/picture/qrzz0re2/29dd55058c6aef9f6ff4dfcf59577621c7c94618.jpg
1750932965-13,https://www.expat-dakar.com/climatisation?page=172,CLIMATISEUR EVVOLI 12000BTU PORTATIF,Neuf,"Plateau, Dakar",219000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d3af227f0048ad8443ca94c1ae53780f/-/horizon-files-prod/ed/picture/q788mjq8/35e9530ee9fef16a544274d82e72c37689e9d3d1.jpg
1750932965-15,https://www.expat-dakar.com/climatisation?page=172,SPLIT SHARP 18000 BTU 2.5 CV 410 CHAUD ET FROID,Neuf,"Plateau, Dakar",269000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0b639225c78a6fd90295932c16e77e7e/-/horizon-files-prod/ed/picture/qj44w67g/03a4d1301e61e552e5d55605c82dc1627a035397.jpg
1750932965-16,https://www.expat-dakar.com/climatisation?page=172,SPLIT SHARP 9000BTU,Neuf,"Plateau, Dakar",174000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/aa5d5ffea985fe3c56abe7cea492d7a3/-/horizon-files-prod/ed/picture/qxjjz27n/e64f398c2acf5d60018e5205348cbf6a13562e09.jpg
1750932965-17,https://www.expat-dakar.com/climatisation?page=172,SPLIT CAC 12000TBU/1.5CVR410,Neuf,"Plateau, Dakar",174000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/290fb729817cf709a03d0dd15e5b8bdd/-/horizon-files-prod/ed/picture/qm55dpk6/0ef69fe57724bcc61facd6b2691f3f2bdae8801e.jpg
1750932965-18,https://www.expat-dakar.com/climatisation?page=172,SPLIT CLIMAF 18000BTU,Neuf,"Plateau, Dakar",224000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/89f92bce47545500df8106b12173b4ce/-/horizon-files-prod/ed/picture/q2jjg6wv/81fbd26ed16b221255364918cc409312b491c6bc.jpg
1750932965-19,https://www.expat-dakar.com/climatisation?page=172,SLIT ELACTRON 18000BTU 2.5CV GAZ 410,Neuf,"Plateau, Dakar",239000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/52cfbf06441cd8c921cd306f1868b9c7/-/horizon-files-prod/ed/picture/qm55nejd/7fe04a2b1d34f5d76561e630c64050637d22d6d3.jpg
1750932965-20,https://www.expat-dakar.com/climatisation?page=172,SPLIT CAC 18000BTU 2.5CV GAZ 410,Neuf,"Plateau, Dakar",229000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7e6e4a10403f3d7da6b8edcb0c9e0acc/-/horizon-files-prod/ed/picture/qrzz7ejj/4dfdf262cf12e9abe802d9eb67150dba6d07eeb5.jpg
1750932965-21,https://www.expat-dakar.com/climatisation?page=172,SPLIT ASTECH 18000BTU 2CV 18RB410,Neuf,"Plateau, Dakar",239000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9f8f764bb2ac87f85747606f476c9cdc/-/horizon-files-prod/ed/picture/q6xx59rg/4409a418e506bae2fa8e574569196ca987f44a06.jpg
1750932965-22,https://www.expat-dakar.com/climatisation?page=172,SPLIT ICONA 1.5CV 12000BTU R140,Neuf,"Plateau, Dakar",179000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/69b492418c7b0c79db26e955829cbb45/-/horizon-files-prod/ed/picture/q2jjg68v/175d2eb462af9798cf5f466f92c4e30096b1d129.jpg
1750932968-23,https://www.expat-dakar.com/climatisation?page=171,SPLIT BELLYAIR 12000 BTU,Neuf,"Plateau, Dakar",179000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/151e82926324fb43c69033940df2f928/-/horizon-files-prod/ed/picture/q0ggv75d/9fdfb1035087b2dda326aaa3f6db366f22bab94b.jpg
1750932968-24,https://www.expat-dakar.com/climatisation?page=171,SPLIT CAC 12000 BTU 1.5CV GAZ 410,Neuf,"Plateau, Dakar",174000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5037910ff093c6a8dbce307768ba6fe9/-/horizon-files-prod/ed/picture/q9mmxjnp/42d605222ab10d86223e447d95c84f40cc113ca0.jpg
1750932968-26,https://www.expat-dakar.com/climatisation?page=171,SPLIT BEKO 18000 BTU 2 CV FREON 410,Neuf,"Plateau, Dakar",298000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fec9653130881ff629a21f7f3d8aedbf/-/horizon-files-prod/ed/picture/qkrrn86x/29254cbe8fabfae96dd25859ab9dc56d4510f229.jpg
1750932968-27,https://www.expat-dakar.com/climatisation?page=171,SPLIT ASTECH 18000BTU 2 CV 18RB410,Neuf,"Plateau, Dakar",244000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6972ff95743d0312f6c653e11bab1f1e/-/horizon-files-prod/ed/picture/qj449qm8/f46185d5d9b0c556196dc7f86f6d42fd3bd214a2.jpg
1750932968-28,https://www.expat-dakar.com/climatisation?page=171,"SPLIT ASTECH 12000 BTU 1,5 CV 12RB410",Neuf,"Plateau, Dakar",179000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/93d9e39ea569fdef0e0236705659828c/-/horizon-files-prod/ed/picture/qrzzmvdq/6ba47ac8cdf011fb598982c27563162eb4596672.jpg
1750932968-29,https://www.expat-dakar.com/climatisation?page=171,"SPLIT ASTECH 9000 BTU 1,25 CV ASW 09 AU",Neuf,"Plateau, Dakar",159000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/51d4aac8dcae1c2c04c1458c96d19b9a/-/horizon-files-prod/ed/picture/qm55qpzg/ed4271a0e1aa7d8a98baa8f7fab33ebaf14a3db4.jpg
1750932968-30,https://www.expat-dakar.com/climatisation?page=171,SPLIT AIRWELL 18000BTU ALLEGE SANS LIAISON,Neuf,"Plateau, Dakar",529000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/065ead17163a2b0535565a80c6456a79/-/horizon-files-prod/ed/picture/qwee9d4g/32691929752a8f598eb6380321d08d8c9d0f4bc4.jpg
1750932968-31,https://www.expat-dakar.com/climatisation?page=171,SPLIT LG 1.5CV 12000BTU R410,Neuf,"Plateau, Dakar",265000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c31109e1022145b4edb3437fb3156934/-/horizon-files-prod/ed/picture/q8v0mkm4/21474a7166bcc04a95166255ab1cff75e0ccc15a.jpg
1750932968-32,https://www.expat-dakar.com/climatisation?page=171,SPLIT CARRIER 24000BTU CASSETTE 42KTD024NS,Neuf,"Plateau, Dakar",629000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/660a99f9b62fb97fb4fb222a171c8e08/-/horizon-files-prod/ed/picture/q2jjn0z6/1a8da228f33485ad821d2e7b451bb7d1aa7526fe.jpg
1750932968-33,https://www.expat-dakar.com/climatisation?page=171,CLIMATISEUR BEKO PORTATIF,Neuf,"Plateau, Dakar",189000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/17b998728344a7f59132225892d0efb3/-/horizon-files-prod/ed/picture/qpdd7gz0/5f1dd22904b87f11a1413ca04684d5799b882dae.jpg
1750932971-34,https://www.expat-dakar.com/climatisation?page=170,SPLIT ASTECH 9000 BTU INVERTER 09INV8MA,Neuf,"Plateau, Dakar",189000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e277bd2fd7977fea4895723cfe029b5f/-/horizon-files-prod/ed/picture/qpddrv5w/714810d325d3e7db57f1e2bc0c6f61fecbe33568.jpg
1750932971-35,https://www.expat-dakar.com/climatisation?page=170,SPLIT GREE 9000 BTU GAZ 410,Neuf,"Plateau, Dakar",169000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/498140b4156862e61b369567803b8552/-/horizon-files-prod/ed/picture/qq44x08n/5f8926d96fdfc2c7370ca41be6630ccf6b908574.jpg
1750932971-37,https://www.expat-dakar.com/climatisation?page=170,SPLIT LG 9000 BTU S4-C09TZCAA NORMAL,Neuf,"Plateau, Dakar",234000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/640ecb1bb1f6ad459b5c7e6bfa096bf3/-/horizon-files-prod/ed/picture/qennz4j9/c23077e38606fbc3ed2b0a9439d5bb51298be9e8.jpg
1750932971-38,https://www.expat-dakar.com/climatisation?page=170,SPLIT CAC 18000 BTU 2.5CV GAZ 410,Neuf,"Plateau, Dakar",229000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/406bf0ba3c42a38c17d386ac278f07fe/-/horizon-files-prod/ed/picture/qq44x26k/6ece6e5826be7075f06d9a5b8458eca688cee6da.jpg
1750932971-39,https://www.expat-dakar.com/climatisation?page=170,SPLIT TCL 3CV 24000BTU CHAUD ET FROID,Neuf,"Plateau, Dakar",339000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a77a22db33bcca63454721d049e7f7c8/-/horizon-files-prod/ed/picture/qv44v0mj/6f179f07a6207987212d973c53c3ed06b0da7b30.jpg
1750932971-40,https://www.expat-dakar.com/climatisation?page=170,SPLIT ELACTRON 18000BTU 2.5CV,Neuf,"Plateau, Dakar",254000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/63f80802331649c49e8a6550a7c4e461/-/horizon-files-prod/ed/picture/q566qp40/7a1dd077a337afb4e554cd353b59e116acbf5079.jpg
1750932971-41,https://www.expat-dakar.com/climatisation?page=170,SPLIT ELACTRON 9000 BTU 1.5CV,Neuf,"Plateau, Dakar",169000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b6c91e8856c343d2091e9cbfaf5a6ccb/-/horizon-files-prod/ed/picture/qwee0rep/b70a81713221845ffc441f267637bc2c9442cfaf.jpg
1750932971-42,https://www.expat-dakar.com/climatisation?page=170,SPLIT ELACTRON 12000BTU 1.5CV,Neuf,"Plateau, Dakar",189000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2622eadc469727df8c3a84969a4768df/-/horizon-files-prod/ed/picture/qv44vd4m/79a4db226e6030b4bd119f8a1560712ec82ac88e.jpg
1750932971-43,https://www.expat-dakar.com/climatisation?page=170,SPLIT BEKO 12000 BTU 1.25 CV,Neuf,"Plateau, Dakar",198000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2c8bda509bec0a1960402d6317f77800/-/horizon-files-prod/ed/picture/qkrrn8px/5b0906f42899504bf25819e21f09f1c08ebab05d.jpg
1750932971-44,https://www.expat-dakar.com/climatisation?page=170,SPLIT BEKO 9000 BTU 1.25 CV,Neuf,"Plateau, Dakar",189000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f5402fffd0077acf8e2b2c37d54cb066/-/horizon-files-prod/ed/picture/q8vvr4mz/bbfcaa48f85553470b51b253cc0af637194582ed.jpg
1750932973-45,https://www.expat-dakar.com/climatisation?page=169,Split 1cv/9000btu smart technology r410,Neuf,"Plateau, Dakar",149000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2f9384a89faffc944873368ea060b90b/-/horizon-files-prod/ed/picture/qdeeq7q4/70b64a0c7206602ed533005fc07185845472d625.jpg
1750932973-46,https://www.expat-dakar.com/climatisation?page=169,Split Smart technology 12000btu R410,Neuf,"Plateau, Dakar",159000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/99e13517cdbb10f2e1319300ad7d3525/-/horizon-files-prod/ed/picture/qgqq7xj2/1c8a8017283f1025d9f7759db8f32dc33e1a530b.jpg
1750932973-48,https://www.expat-dakar.com/climatisation?page=169,SPLIT SMART TECHNOLOGY 9000 BTU GAZ 410,Neuf,"Plateau, Dakar",149000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2213cfa95799e85eda4d4272ab0b665d/-/horizon-files-prod/ed/picture/qweexz0j/75d2d9a584d899c1eb6cba0b202247c27dc3366d.jpg
1750932973-49,https://www.expat-dakar.com/climatisation?page=169,SPLIT SMART TECHNOLOGY 12000 BTU GAZ 410,Neuf,"Plateau, Dakar",159000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7ed4637cce4fbccaa6ac8cc863a2201f/-/horizon-files-prod/ed/picture/qpddrg6r/5a4c7a6a2fa11431e66de977ebf2a655ace4fd67.jpg
1750932973-50,https://www.expat-dakar.com/climatisation?page=169,SPLIT SHARP 9000 BTU 1.25CV GAZ 410,Neuf,"Plateau, Dakar",174000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/75dfa3bf87e50e076be2c95164a8fb45/-/horizon-files-prod/ed/picture/qrzzw2mx/0f682e7b3e9d7c5f91692fe5060e1abad30822e5.jpg
1750932973-51,https://www.expat-dakar.com/climatisation?page=169,SPLIT MIDEA 9000 BTU 1.25CV GAZ 410,Neuf,"Plateau, Dakar",179000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/eb8af32d6b27440310de3114f97c664a/-/horizon-files-prod/ed/picture/qgqqr5kn/d79c9be7c7314f1cdc9ce5fce06665079eba6a26.jpg
1750932973-52,https://www.expat-dakar.com/climatisation?page=169,SPLIT ICONA 9000 BTU 1.25 CV GAZ 410,Neuf,"Plateau, Dakar",159000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b4095ab4db74dfa4185328e58f55ac36/-/horizon-files-prod/ed/picture/q788qvrz/c21ff7bc1898c4f155899089f56eebbd42e02cfa.jpg
1750932973-53,https://www.expat-dakar.com/climatisation?page=169,SPLIT HAIER 9000 BTU 1CV GAZ 410,Neuf,"Plateau, Dakar",179000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3eadb3d054a8f48f7c54815587435a34/-/horizon-files-prod/ed/picture/q0ggvqp8/d40dc4619802e74b266ae0c22f7ad43f8ee750c0.jpg
1750932973-54,https://www.expat-dakar.com/climatisation?page=169,SPLIT BEKO 9000 BTU 1.25 CV INVERTER,Neuf,"Plateau, Dakar",289000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/13bf86aabba2ca21fd71edf278dbc4bd/-/horizon-files-prod/ed/picture/qrzzmrvj/467c2d8c25bcebdd361e659229ba0c7cbee6e27c.jpg
1750932973-55,https://www.expat-dakar.com/climatisation?page=169,SPLIT BEKO 9000 BTU 1.25 CV GAZ R410,Neuf,"Plateau, Dakar",189000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c8b20e02e64c40b468fd69904151532c/-/horizon-files-prod/ed/picture/q2jj9m2q/dea20e3501fa937b79afcbc4ea767f2f73ea675c.jpg
1750932976-56,https://www.expat-dakar.com/climatisation?page=168,Split Midea inverter 1.5cv 12000btu,Neuf,"Plateau, Dakar",259000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bf5c98f968f6d2d2e2e7a510c38762d9/-/horizon-files-prod/ed/picture/qrzzgnkx/2bd8001298a90da305bbc0cf99682c42817f814b.jpg
1750932976-57,https://www.expat-dakar.com/climatisation?page=168,Split Gree 1.5cv 12000btu R410,Neuf,"Plateau, Dakar",198000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3d355bb3631405369b3c2f631e55e3d3/-/horizon-files-prod/ed/picture/qgqqvwe2/2d2e08768c329f9f81d9d759610fb8f367bb5e2b.jpg
1750932976-59,https://www.expat-dakar.com/climatisation?page=168,SPLIT HISENSE 18000BTU CASSETTE R410A SANS LIAISON,Neuf,"Plateau, Dakar",589000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/21fa03f505b19d908d64be4bb25581b6/-/horizon-files-prod/ed/picture/q444zr5m/c3b08201dbb7a598d1b6e600391006712a8e6134.jpg
1750932976-60,https://www.expat-dakar.com/climatisation?page=168,SPLIT HISENSE 12000BTU R410 AS12HRASC,Neuf,"Plateau, Dakar",179000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3bcf4520ee47416c7ea7c9f7dae03652/-/horizon-files-prod/ed/picture/qj44k0gw/c0786ff8cd3dfc69e308fb33bbf0078bbd728237.jpg
