web-scraper-order,web-scraper-start-url,V1_détails,V2_cuisinieres-fours,V3_adresse,V4_prix,V5_image_lien-src
1750933735-1,https://www.expat-dakar.com/cuisinieres-fours?page=133,FOUR ENCASTRABLE ASTECH ELECTRIQUE AVEC AFFICHAGE,Neuf,"Ouakam, Dakar",229900.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/411dfeaa7b9237b7fb16a98141f69caf/-/horizon-files-prod/ed/picture/q4440mqm/a827f93fb5db2ff91932aaaebe0f75fc96bfa560.jpg
1750933735-2,https://www.expat-dakar.com/cuisinieres-fours?page=133,Cuisiniere a Gaz Avec Etagere - 4 Feux,Neuf,"Plateau, Dakar",40000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/daa006db4a571f4fe16ba0f9d31a8f1d/-/horizon-files-prod/ed/picture/q2jjkknk/48006854483e48cce1925b2bbbf106b213cd3239.jpg
1750933735-4,https://www.expat-dakar.com/cuisinieres-fours?page=133,"Friteuse Sans Huile Air Fryer Capacite de 5,0 L",Neuf,"Plateau, Dakar",35000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/39390fe91df97609258d121b8a9a63b9/-/horizon-files-prod/ed/picture/qrzz266q/954f6a29d4c31def4e05d713feec6308c621e8f0.jpg
1750933735-5,https://www.expat-dakar.com/cuisinieres-fours?page=133,CUISINIERE REALCE 4 FEUX 50X50 WHITE,Neuf,"Plateau, Dakar",89000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/384c451748805756ad69ac7dc312b26b/-/horizon-files-prod/ed/picture/q2jz4r9v/8d79afdc3c40b4788bdbb639decc6cf67363e55a.jpg
1750933735-6,https://www.expat-dakar.com/cuisinieres-fours?page=133,CUISINIERE - ASTECH - 4 FEUX - 6060 - FULL OPTION,Neuf,"Ouakam, Dakar",149990.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b684335e4d1df37cc761ddba88d69ffd/-/horizon-files-prod/ed/picture/q9m0pm57/d384f2226b1d956691659354555c02d5dbde314a.jpg
1750933735-7,https://www.expat-dakar.com/cuisinieres-fours?page=133,Friteuse a air numerique RAF 8L,Neuf,"Plateau, Dakar",45000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ba217a2284710739649e72dbcb8c8008/-/horizon-files-prod/ed/picture/q9m0ez68/a29b1d7cfdbb84f1e31f28651b70c1ea31da97af.jpg
1750933735-8,https://www.expat-dakar.com/cuisinieres-fours?page=133,FOUR -ELECTRIQUE - ASTECH - 42 LITRES - AVEC GRILL,Neuf,"Ouakam, Dakar",89900.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0a2d4c3d9113c115357451a3583a524c/-/horizon-files-prod/ed/picture/q6x79mez/887fc1ef71e16ce69347fa6b1f8b876b88af2126.jpg
1750933735-9,https://www.expat-dakar.com/cuisinieres-fours?page=133,FOUR ENCASTRABLE - TECNOLUX - ELECTRIQUE - 90CM,Neuf,"Ouakam, Dakar",379900.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fb6eecd808a1a44593e1aabed092f4bb/-/horizon-files-prod/ed/picture/qzv2969n/9d19ea960979eb42ac8776f7c9000be4606000e5.jpg
1750933735-10,https://www.expat-dakar.com/cuisinieres-fours?page=133,Micro ondes 20ltr,Neuf,"Point-e, Dakar",45000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/71d2fde8b8a2ce20a7f4cfb317081752/-/horizon-files-prod/ed/picture/qj4mderz/99d96a2b35e413d12e37339745d7e45375a44199.jpg
1750933735-11,https://www.expat-dakar.com/cuisinieres-fours?page=133,SPLIT ELACTRON 12000BTU 1.5CV GAZ 410,Neuf,"Plateau, Dakar",179000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/54c5e93b6c57dd16e870153c8b3cb3ca/-/horizon-files-prod/ed/picture/qj4mwxpe/f1cb51e0ab367cd0b2bf7d2f825d38332c5dab41.jpg
1750933738-12,https://www.expat-dakar.com/cuisinieres-fours?page=132,bouilloire Thermos electrique sans fil 3L,Neuf,"Plateau, Dakar",9900.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/92fc0ef499eb263285211b55de32a396/-/horizon-files-prod/ed/picture/q788r02d/c43cc1065551e2c9a88e44ce3621bab550cfbd50.jpg
1750933738-13,https://www.expat-dakar.com/cuisinieres-fours?page=132,CUISINIERE TECHNOLUX 4 FEUX 5050 INOX TEC 50 CS,Neuf,"Plateau, Dakar",88000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2d04ced0e6c33f5c3a86240e3f89ac38/-/horizon-files-prod/ed/picture/q788mv9g/67f51e71ce464d67d3f548fbda4772f95900657a.jpg
1750933738-15,https://www.expat-dakar.com/cuisinieres-fours?page=132,PLAQUE ENCASTRABLE TECHNOLUX 5 FEUX 7060 A GAZ,Neuf,"Plateau, Dakar",119000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/28dba87c86318fae4b7319fa8dc733af/-/horizon-files-prod/ed/picture/q5665wvp/e20b4c312fc7e85be3b06a875a9499047124bfc6.jpg
1750933738-16,https://www.expat-dakar.com/cuisinieres-fours?page=132,CUISINIERE CAC 4 FEUX 5050 BLACK CAC50G,Neuf,"Plateau, Dakar",94000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e2d113d863b1e15269f5be53a2161fcf/-/horizon-files-prod/ed/picture/qgqq05m8/132bc497bb1c175feceff35f5e2451454a4108a9.jpg
1750933738-17,https://www.expat-dakar.com/cuisinieres-fours?page=132,CUISINIERE CAC 4 FEUX 6060 BLACK CAC60G,Neuf,"Plateau, Dakar",129000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f4e4fed702d31c0f887488c734774e97/-/horizon-files-prod/ed/picture/q8vvd05r/b523a0eeb1195229cb10753409836a584c7b252e.jpg
1750933738-18,https://www.expat-dakar.com/cuisinieres-fours?page=132,Friteuse Double bacs 9 L,Neuf,"Plateau, Dakar",55000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/16c9400719bd846a8590ac7c87215633/-/horizon-files-prod/ed/picture/q6xxz508/c0f1047e9b81da2fb8677d451131225425e57fc1.jpg
1750933738-19,https://www.expat-dakar.com/cuisinieres-fours?page=132,"Four electrique, 45 litres",Neuf,"Plateau, Dakar",45000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8e1dd4d44ce749bc008a434991eb893a/-/horizon-files-prod/ed/picture/q9mmgrjn/4ffa29ee01c9d6c56865626cb4a0c62bf8879ea9.jpg
1750933738-20,https://www.expat-dakar.com/cuisinieres-fours?page=132,FOUR ENCASTRABLE A GAZ TECHNOLUX,Neuf,"Plateau, Dakar",359000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1ad670eb0b7ae16068eb8cc7432da123/-/horizon-files-prod/ed/picture/q788pqmm/624887494618a36d4d6833ce59f8410c7e580d60.jpg
1750933738-21,https://www.expat-dakar.com/cuisinieres-fours?page=132,FOUR ENCASTRABLE TECHNOLUX ELEC 60X60,Neuf,"Plateau, Dakar",169000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8fdaa3bd00ac1a247ac96704af70f04d/-/horizon-files-prod/ed/picture/qngg7v0v/bb5bf3b52c93eb03155df1e6f3045c56e0081f09.jpg
1750933738-22,https://www.expat-dakar.com/cuisinieres-fours?page=132,FOUR ENCASTRABLE - ASTECH - ELECTRIQUE - ASTECH - 90/60,Neuf,"Ouakam, Dakar",438999.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/12203a9d493193c766feb4a9e60d857f/-/horizon-files-prod/ed/picture/qkrrpqvz/098d96e923fda27a7c055399cb5c435d2c53a0b3.jpg
