web-scraper-order,web-scraper-start-url,V1_détails,V2_etat_machines_a_laver,V3_adresse,V4_prix,V5_image_lien-src
1750934121-1,https://www.expat-dakar.com/machines-a-laver?page=94,MACHINE A LAVER 9KG ASTECH SILVER,Neuf,"Plateau, Dakar",239000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/47e5eaa94e98c81f682772662858d0e0/-/horizon-files-prod/ed/picture/qxjjkm2n/dd43fb496eec688ac7d7b15f16cf7dc93f3103cf.jpg
1750934121-2,https://www.expat-dakar.com/machines-a-laver?page=94,MACHINE A LAVER 7KG ENDURO A,Neuf,"Plateau, Dakar",198000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/46234f95b6798fcbed73a1af89e201c4/-/horizon-files-prod/ed/picture/qm55jpj9/8f7350e108a2d33c58b54ee3bdab1129807b65d6.jpg
1750934121-4,https://www.expat-dakar.com/machines-a-laver?page=94,MACHINE A LAVER 6KG ENDURO A,Neuf,"Plateau, Dakar",179000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/449008a09f269df865d3042fdcfed5af/-/horizon-files-prod/ed/picture/qnggjxj9/bf86abeb5a0f233d0c61ab0510f90c8025685c22.jpg
1750934121-5,https://www.expat-dakar.com/machines-a-laver?page=94,MACHINE A LAVER 6KG COMFEE A,Neuf,"Plateau, Dakar",184000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7d15f323faa8d6af228896c332e3f182/-/horizon-files-prod/ed/picture/qpddmxk4/0bacaa5e0093061228fd957094ecbe38723ae749.jpg
1750934121-6,https://www.expat-dakar.com/machines-a-laver?page=94,MACHINE A LAVER 8KG A ENDURO SILVER,Neuf,"Plateau, Dakar",229000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/99ff716ce0a6f8abc7e6d5148803220c/-/horizon-files-prod/ed/picture/qrzz8d25/c4be0fc1b59be918ab58db7fa40f088204761df6.jpg
1750934121-7,https://www.expat-dakar.com/machines-a-laver?page=94,MACHINE A LAVER -SAMSUNG - 7KGS SILVER A,Neuf,"Ouakam, Dakar",319000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7d2e410a0377d16302e13fdc2b12aa22/-/horizon-files-prod/ed/picture/qzv2np2r/6e69851f03ca82ff9d0ca8c420ea950787790c75.jpg
1750934121-8,https://www.expat-dakar.com/machines-a-laver?page=94,"Support Frigo ;machine a laver,cuisiniere..",Neuf,"Liberte 6, Dakar",12500.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9d4905823275ba8e608ba4097b52ded8/-/horizon-files-prod/ed/picture/q8v07009/0b5dde645afb2223667db303ecbebb3eb13e50ec.jpg
1750934121-9,https://www.expat-dakar.com/machines-a-laver?page=94,MACHINE A LAVER HISENSE 10.5KG TOP- LOAD,Neuf,"Ouakam, Dakar",299000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8772a81e0d8639d0a1d36c8d37fd69f9/-/horizon-files-prod/ed/picture/q8v047g9/c6c9efa7401bd5b61a6c20b3b5dbab2c8ddf6398.jpg
1750934121-10,https://www.expat-dakar.com/machines-a-laver?page=94,MACHINE A LAVER - HISENSE - 16 KG - TOP- LOAD,Neuf,"Ouakam, Dakar",359000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/656cdb42706a6fed1642cd16205a965a/-/horizon-files-prod/ed/picture/qder7g28/3b9dd561fabfd3865fc4c9599226b159b33c1a0d.jpg
1750934121-11,https://www.expat-dakar.com/machines-a-laver?page=94,MACHINE A LAVER - CANDY 8 KG SMART TOUCH A,Neuf,"Ouakam, Dakar",289900.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/faf604d0362220150d1018d8ca214e1d/-/horizon-files-prod/ed/picture/qkrmrzwz/6f6d52b0f1bfce1997d97ff249d87b13a96493ea.jpg
1750934124-12,https://www.expat-dakar.com/machines-a-laver?page=93,MACHINE A LAVER ASTECH 6KG MLG63,Neuf,"Plateau, Dakar",184000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0883d1943dcef2b5eec736f6f68b7318/-/horizon-files-prod/ed/picture/q6xx289d/279d0892fd5e649b9a6846278f0c4984524ba4ba.jpg
1750934124-13,https://www.expat-dakar.com/machines-a-laver?page=93,MACHINE A LAVER ASTECH 12KG,Neuf,"Plateau, Dakar",344000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f5adb6cd552624e84e7ebd632bfbfc61/-/horizon-files-prod/ed/picture/qennmzk5/f7183ec29e3706eaebc5b22e3022f9770eb15419.jpg
1750934124-15,https://www.expat-dakar.com/machines-a-laver?page=93,MACHINE A LAVER LG / SECHAGE,Neuf,"Plateau, Dakar",649000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/05898d0702b03ae3e9b7d3762896cffc/-/horizon-files-prod/ed/picture/qxjjen72/5fec633895993c0f8db0e34885f251749f6c18d0.jpg
1750934124-16,https://www.expat-dakar.com/machines-a-laver?page=93,MACHINE A LAVER ASTECH SECHAGE A INVERTER,Neuf,"Plateau, Dakar",419000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/19865fb671e8413b139c10bb4ef7060b/-/horizon-files-prod/ed/picture/q788rdp8/8494b82ffe625128f25f1766cd2467982e63cc96.jpg
1750934124-17,https://www.expat-dakar.com/machines-a-laver?page=93,MACHINE A LAVER SAMSUNG 10KG WHITE WA10T5260BW TOP LAODER,Neuf,"Plateau, Dakar",294000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5c0290a3637ff550764a1add6f4eec05/-/horizon-files-prod/ed/picture/qxjjepjz/91ab3fc128d36eccf51362ab6263150dd18253d8.jpg
1750934124-18,https://www.expat-dakar.com/machines-a-laver?page=93,MACHINE A LAVER SAMSUNG 7KG WW 70T3010BS,Neuf,"Plateau, Dakar",289000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bd287dbf341989c4017afc33c157b212/-/horizon-files-prod/ed/picture/q8vvd2nz/3530c5dd3f193d11fbb65e0e867664f1aca6e3b6.jpg
1750934124-19,https://www.expat-dakar.com/machines-a-laver?page=93,MACHINE A LAVER INDESIT,Neuf,"Plateau, Dakar",209000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b8c2247a900697ba9454f5c74eda46a4/-/horizon-files-prod/ed/picture/qxjjznq8/9225644f770bcb41727f46806a959aba83ef77a2.jpg
1750934124-20,https://www.expat-dakar.com/machines-a-laver?page=93,MACHINE A LAVER IBERNA,Neuf,"Plateau, Dakar",189000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3fafb0ed92622900c6aacbd1df509e7d/-/horizon-files-prod/ed/picture/qv44q0kg/1974363b563a92852ea2db18e8f1ea9c8804265f.jpg
1750934124-21,https://www.expat-dakar.com/machines-a-laver?page=93,MACHINE A LAVER ASTECH 7 KG MLG73V730DG,Neuf,"Plateau, Dakar",199000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/56a544d227cf67bc6f133e3bc39d0113/-/horizon-files-prod/ed/picture/q566v7m2/bf5a76357f295b5c937e47da32a8db378ac78d02.jpg
1750934124-22,https://www.expat-dakar.com/machines-a-laver?page=93,MACHINE A LAVER ASTECH 12KG MLG12C-V120C-CI,Neuf,"Plateau, Dakar",344000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cbbcc1077473efc3448aa56a84bd22f1/-/horizon-files-prod/ed/picture/q9mmg76n/66ddfc178c201e740b2fd63d30a6dc73ef701647.jpg
1750934126-23,https://www.expat-dakar.com/machines-a-laver?page=92,MACHINE A LAVER ENDURO 7KG A DARK SILVER,Neuf,"Plateau, Dakar",208000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b0e0d66a0ac4e6028096997a7a757c03/-/horizon-files-prod/ed/picture/qrzzkd0m/42ff673b302c0d891e79ccac92852caf16d102ad.jpg
1750934126-24,https://www.expat-dakar.com/machines-a-laver?page=92,MACHINE A LAVER ENDURO 6 KG SILVER A,Neuf,"Plateau, Dakar",184000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2a6c1e3be8ce2d17ab6249b3a9c6ef1c/-/horizon-files-prod/ed/picture/qennmg75/3e2330ccf716da963d4539787bd5c0f65f47f04a.jpg
1750934126-26,https://www.expat-dakar.com/machines-a-laver?page=92,MACHINE A LAVER COMFEE 7KG BLANC 1000 TOUR/MIN,Neuf,"Plateau, Dakar",198000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/299550382179b1036fac5b56e6d093ef/-/horizon-files-prod/ed/picture/qkrrd96p/5e013f38d3ffd99ef5402c6bfc56ece73471068b.jpg
1750934126-27,https://www.expat-dakar.com/machines-a-laver?page=92,MACHINE A LAVER COMFEE 6 KG,Neuf,"Plateau, Dakar",184000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d81e8b7962177438e5c637fa6163dfe5/-/horizon-files-prod/ed/picture/q4442e5m/93773b2aa92f59603dfb07c16bdfe95e72d7795a.jpg
