web-scraper-order,web-scraper-start-url,V1_type_chaussures,V2_prix,V3_adresse,V4_image_lien-src,Pagination,Pagination-href
"1751543903-1","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures Baskets","15 000CFA","Sénégal","https://images.coinafrique.com/thumb_894226_uploaded_image1_1567186853.35.png","chevron_leftprécédent","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7"
"1751543903-2","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfants","8 000CFA","Sénégal","https://images.coinafrique.com/thumb_894185_uploaded_image1_1567186147.73.png","chevron_leftprécédent","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7"
"1751543903-3","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_892623_uploaded_image1_1567161532.45.png","chevron_leftprécédent","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7"
"1751543903-4","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_892617_uploaded_image1_1567161496.62.png","chevron_leftprécédent","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7"
"1751543903-5","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_892611_uploaded_image1_1567161455.24.png","chevron_leftprécédent","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7"
"1751543903-6","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_892593_uploaded_image1_1567161453.51.png","chevron_leftprécédent","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7"
"1751543903-7","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures pour enfant","13 000CFA","Sénégal","https://images.coinafrique.com/thumb_884530_uploaded_image1_1566983419.29.png","chevron_leftprécédent","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7"
"1751543903-8","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","7 500CFA","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_878809_uploaded_image1_1566841399.24.png","chevron_leftprécédent","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7"
"1751543903-9","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","7 500CFA","Sénégal","https://images.coinafrique.com/thumb_878800_uploaded_image1_1566841283.51.png","chevron_leftprécédent","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7"
"1751543903-10","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Ensemble talon","15 000CFA","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_861833_uploaded_image1_1566391948.31.png","chevron_leftprécédent","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7"
"1751543903-11","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","6 000CFA","Les Parcelles Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_854221_uploaded_image1_1566227990.03.png","chevron_leftprécédent","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7"
"1751543903-12","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","8 500CFA","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_848875_uploaded_image1_1566050610.48.png","chevron_leftprécédent","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7"
"1751543903-13","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Mocassins Enfant","Prix sur demande","Les Parcelles Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_838292_uploaded_image1_1565733704.96.png","chevron_leftprécédent","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7"
"1751543903-14","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures Enfant","8 000CFA","Les Parcelles Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_838285_uploaded_image1_1565733521.41.png","chevron_leftprécédent","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7"
"1751543903-15","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","8 000CFA","Les Parcelles Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_825843_uploaded_image1_1565308869.98.png","chevron_leftprécédent","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7"
"1751543903-16","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","8 000CFA","Les Parcelles Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_824543_uploaded_image1_1565279780.97.png","chevron_leftprécédent","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7"
"1751543903-17","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_813318_uploaded_image1_1565013222.75.png","chevron_leftprécédent","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7"
"1751543903-18","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_813303_uploaded_image1_1565013123.95.png","chevron_leftprécédent","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7"
"1751543903-19","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_813299_uploaded_image1_1565012935.88.png","chevron_leftprécédent","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7"
"1751543903-20","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_813287_uploaded_image1_1565012771.79.png","chevron_leftprécédent","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7"
"1751543903-21","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_813282_uploaded_image1_1565012680.37.png","chevron_leftprécédent","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7"
"1751543903-22","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_813272_uploaded_image1_1565012560.04.png","chevron_leftprécédent","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7"
"1751543903-23","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_813239_uploaded_image1_1565012155.7.png","chevron_leftprécédent","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7"
