web-scraper-order,web-scraper-start-url,V1_type_chaussures,V2_prix,V3_adresse,V4_image_lien-src,Pagination,Pagination-href
"1751545805-1","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets Nike 270","15 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2357775_uploaded_image1_1593291884.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/chaussures-homme?page=118"
"1751545805-2","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets Nike","25 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2357762_uploaded_image1_1593291721.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/chaussures-homme?page=118"
"1751545805-3","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets Jordan One","27 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2357754_uploaded_image1_1593291626.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/chaussures-homme?page=118"
"1751545805-4","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets Nike Air Force One","20 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2357731_uploaded_image1_1593291165.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/chaussures-homme?page=118"
"1751545805-5","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets Jordan One","30 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2357722_uploaded_image1_1593291050.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/chaussures-homme?page=118"
"1751545805-6","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Basket Adidas","17 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2357715_uploaded_image1_1593290933.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/chaussures-homme?page=118"
"1751545805-7","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets Adidas","17 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2357709_uploaded_image1_1593290858.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/chaussures-homme?page=118"
"1751545805-8","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets Jordan One","35 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2357573_uploaded_image1_1593286971.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/chaussures-homme?page=118"
"1751545805-9","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Chaussures Vans","15 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2357564_uploaded_image1_1593286835.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/chaussures-homme?page=118"
"1751545805-10","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets Jordan","25 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2357562_uploaded_image1_1593286808.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/chaussures-homme?page=118"
"1751545805-11","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Chaussures Mc Queen","20 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2357547_uploaded_image1_1593286570.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/chaussures-homme?page=118"
"1751545805-12","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets Nike AF","20 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2357544_uploaded_image1_1593286530.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/chaussures-homme?page=118"
