web-scraper-order,web-scraper-start-url,V1_type_habits,V2_prix,V3_adresse,V4_image_lien-src,Pagination,Pagination-href
"1751547019-1","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue Enfant","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_724057_uploaded_image1_1562587700.41.png","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-enfants?page=21"
"1751547019-2","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue enfant","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_724054_uploaded_image1_1562587650.41.png","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-enfants?page=21"
"1751547019-3","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue pour enfant","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_724052_uploaded_image1_1562587604.4.png","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-enfants?page=21"
"1751547019-4","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue enfant","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_724047_uploaded_image1_1562587553.26.png","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-enfants?page=21"
"1751547019-5","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Ensemble pour enfant","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_724043_uploaded_image1_1562587503.48.png","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-enfants?page=21"
"1751547019-6","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Ensemble costume enfant","25 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_724000_uploaded_image1_1562587045.77.png","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-enfants?page=21"
"1751547019-7","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Ensemble costume enfant","25 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_723992_uploaded_image1_1562586931.16.png","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-enfants?page=21"
"1751547027-8","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robes pour enfant","Prix sur demande","Petit-Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_799190_uploaded_image1_1564585120.62.png","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-enfants?page=20"
"1751547027-9","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Vêtements enfant","Prix sur demande","Médina, Dakar, Sénégal","https://images.coinafrique.com/thumb_794850_uploaded_image1_1564483781.69.png","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-enfants?page=20"
"1751547027-10","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Costume Enfant","Prix sur demande","Médina, Dakar, Sénégal","https://images.coinafrique.com/thumb_789093_uploaded_image1_1564310873.21.png","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-enfants?page=20"
"1751547027-11","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Tenue enfant","18 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_780901_uploaded_image1_1564061950.08.png","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-enfants?page=20"
"1751547027-12","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Ensemble pour enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_780854_uploaded_image1_1564061441.75.png","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-enfants?page=20"
"1751547027-13","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Ensemble Biberon 5 Pièces de Garçons en Bleu - à partir de ...","1 900CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_777756_uploaded_image1_1563987300.49.png","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-enfants?page=20"
"1751547027-14","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Vêtements enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_777530_uploaded_image1_1563983540.87.png","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-enfants?page=20"
"1751547027-15","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robe enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_777518_uploaded_image1_1563983306.57.png","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-enfants?page=20"
"1751547027-16","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robe enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_777499_uploaded_image1_1563983051.01.png","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-enfants?page=20"
"1751547027-17","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robe fillette","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_777479_uploaded_image1_1563982898.84.png","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-enfants?page=20"
"1751547027-18","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robe fillette","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_777474_uploaded_image1_1563982835.05.png","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-enfants?page=20"
"1751547027-19","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Vêtements enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_777469_uploaded_image1_1563982780.11.png","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-enfants?page=20"
