web-scraper-order,web-scraper-start-url,V1_type_habits,V2_prix,V3_adresse,V4_image_lien-src,Pagination,Pagination-href
"1751544298-1","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","12 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2172386_uploaded_image1_1590447517.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-2","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","12 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2172383_uploaded_image1_1590447493.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-3","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","12 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2172381_uploaded_image1_1590447471.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-4","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","12 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2172376_uploaded_image1_1590447403.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-5","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","11 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2172373_uploaded_image1_1590447373.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-6","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","11 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2172371_uploaded_image1_1590447335.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-7","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","11 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2172352_uploaded_image1_1590446898.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-8","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble habits","11 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2172349_uploaded_image1_1590446862.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-9","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","11 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2172346_uploaded_image1_1590446837.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-10","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","11 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2172345_uploaded_image1_1590446809.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-11","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalon Kaki","6 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2172334_uploaded_image1_1590446653.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-12","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalon Kaki","6 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2172332_uploaded_image1_1590446623.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-13","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalon Kaki","6 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2172331_uploaded_image1_1590446587.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
