V1_type_habits,V2_prix,V3_adresse,V4_image_lien-src
Ensemble homme,12 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2172386_uploaded_image1_1590447517.jpg
Ensemble homme,12 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2172383_uploaded_image1_1590447493.jpg
Ensemble homme,12 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2172381_uploaded_image1_1590447471.jpg
Ensemble homme,12 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2172376_uploaded_image1_1590447403.jpg
Ensemble homme,11 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2172373_uploaded_image1_1590447373.jpg
Ensemble homme,11 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2172371_uploaded_image1_1590447335.jpg
Ensemble homme,11 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2172352_uploaded_image1_1590446898.jpg
Ensemble habits,11 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2172349_uploaded_image1_1590446862.jpg
Ensemble homme,11 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2172346_uploaded_image1_1590446837.jpg
Ensemble homme,11 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2172345_uploaded_image1_1590446809.jpg
Pantalon Kaki,6 500,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2172334_uploaded_image1_1590446653.jpg
Pantalon Kaki,6 500,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2172332_uploaded_image1_1590446623.jpg
Pantalon Kaki,6 500,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2172331_uploaded_image1_1590446587.jpg
Tee-shirt coton,1 500,"Les Parcelles Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_2171068_uploaded_image1_1590427934.jpg
Pantalons Kaki,10 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2170884_uploaded_image1_1590425239.jpg
Ensemble blouson pantalon original,20 000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_2170116_uploaded_image1_1590416379.jpg
Ensemble blouson pantalon,15 000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_2170101_uploaded_image1_1590416289.jpg
